Unnamed: 0,번호,제목,저자,출판사,출판일
,37,Job transfer and influence activities,"Eguchi, K.","Elsevier Science B.V., Amsterdam.",2005
,38,"Job Security, Satisfaction Influence Work Commitment","Reinardy, S.",OHIO UNIVERSITY,2012
,39,Influence mechanism of job satisfaction and positive affect on knowledge sharing among project members,"Sang, Linhua; Xia, Dongchun; Ni, Guodong; Cui, Qingbin; Wang, Jianping; Wang, Wenshun",Emerald Group Publishing Limited,2019
,40,How job satisfaction can influence air traffic controllers' backup‐providing behavior in parallel runway operation,"Kuang, Ying; E, Xiaotian; Li, Yazhe; Zhang, Jingyu",John Wiley & Sons Ltd,2020
,41,The influence of low job control on ambulatory blood pressure and perceived stress over the working day in men and women from the Whitehall II cohort,"Steptoe, A.; Willemsen, G.",Lippincott Williams & Wilkins; 1999,2004
,42,The Influence of COVID-Induced Job Search Anxiety and Conspiracy Beliefs on Job Search Effort: A Within-Person Investigation,"Gabriel, Allison S.; MacGowan, Rebecca L.; Ganster, Mahira L.; Slaughter, Jerel E.",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2021
,43,The influence of perceived job flexibility and spousal support on the marital satisfaction of parents of children with special needs,"Perlowski, Katie M.; Wright, Lindsay E.",Taylor & Francis,2021
,44,"Gender, Influence Tactics, and Job Characteristics Preferences: New Insights into Salary Determination","Thacker, R. A.",PLENUM PUBLISHING CORPORATION,1995
,45,Can Job Redesign Interventions Influence a Broad Range of Employee Outcomes by Changing Multiple Job Characteristics? A Quasi-Experimental Study,"Holman,  David; Axtell,  Carolyn",EDUCATIONAL PUBLISHING FOUNDATION,2016
,46,Young Women's Job Mobility: The Influence of Motherhood Status and Education,"Looze, J.",Blackwell Publishing ltd,2014
,47,Factors that influence nurse manager job satisfaction: An integrated literature review,"Keith, Angela C.; Warshawsky, Nora; Neff, Donna; Loerzel, Victoria; Parchment, Joy",John Wiley & Sons Ltd,2021
,48,A Study on the Influence Effect of Job Satisfaction by a Combined Analysis of Expected and Perceived Human Resources Management Styles,"Liu, C.-C.",NEDSI,1999
,49,Managers' Evaluations of Immigrant Job Applicants: The Influence of Acculturation Strategy on Perceived Person-Organization Fit (P-O Fit) and Hiring Outcome,"Horverak, J.G.; Bye, H.H.; Sandal, G.M.; Pallesen, S.",SAGE PUBLICATIONS LTD,2013
,50,Computer-aided monitoring : Its influence on employee job satisfaction and turnover /,"Chalykoff, John ;Kochan, Thomas A. :",American Psychological Association,1990
,51,Turnover Contagion: How Coworkers' Job Embeddedness and Job Search Behaviors Influence Quitting,"Felps, W.; Mitchell, T.R.; Hekman, D.R.; Lee, T.W.; Holtom, B.C.; Harman, W.S.",ACADEMY OF MANAGEMENT,2009
,52,Research on the influence mechanisms of job characteristics on millennial employee well-being,"Yang, Baiyin",Taylor & Francis,2018
,53,"Modeling Error Variance in Job Specification Ratings: The Influence of Rater, Job, and Organization-Level Factors","Van Iddekinge, C. H.; Putka, D. J.; Raymark, P. H.; Eidson, C. E.",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2005
,54,Computer-Aided Monitoring: Its Influence on Employee Job Satisfaction and Turnover.,"Chalykoff, John;Kochan, Thomas A.","Personnel Psychology, Inc",1989
,55,The Information Technology Influence on LIS Job Descriptions in South Africa,"Shongwe, M.M.",Taylor & Francis,2015
,56,"The Relationship of Personal Influence Dissonance to Job Tension, Satisfaction and Involvement","Hollon, C.J.;Chesser, R.J.",ACADEMY OF MANAGEMENT,1976
,57,"Applicant Evaluations of Formal Position Advertisements: The Influence of Sex, Job Message Content, and Information Order","Winter, P. A.",KLUWER ACADEMIC PUBLISHERS GROUP,1996
,58,Corporate psychopathy and abusive supervision: Their influence on employees' job satisfaction and turnover intentions,"Mathieu, C.; Babiak, P.",Elsevier Science B. V. Amsterdam,2016
,59,Age-Differences in Work Motivation and Job Satisfaction. The Influence of Age on the Relationships between Work Characteristics and Workers' Outcomes,"Boumans, N.P.G.; de Jong, A.H.J.; Janssen, S.M.",BAYWOOD PUBLISHING COMPANY,2011
,60,Work-family conflict and facilitation: The combined influence of the job demand-control model and achievement striving,"Proost, K.; De Witte, H.; De Witte, K.; Schreurs, B.",PSYCHOLOGY PRESS,2010
,61,"Leadership style, salesperson's work effort and job performance: the influence of power distance","Mulki, Jay P.; Caemmerer, Barbara; Heggde, Githa S.",Taylor and Francis,2015
,62,The Effects of Local and Global Dynamic Influence Systems in Job Shop Dispatching,"Simons, J. V.;Diener, D. A.",The Institute,1994
,63,Exploring the efficacy of African-Americans' job referral networks: A study of the obligations of exchange around job information and influence,"Smith, S. S.",ROUTLEDGE,2003
,64,"Starring in Your Own LinkedIn Job Advertisement: The Influence of Self-Endorsing, Oneness, and Involvement on Brand Attitude","Ahn, S.J.; Phua, J.; Shan, Y.","Austin, TX; American Academy of Advertising",2014
,65,How and When Does Customer Orientation Influence Frontline Employee Job Outcomes? A Meta-Analytic Evaluation,"Zablah, A.R.; Franke, G.R.; Brown, T.J.; Bartholomew, D.E.",AMERICAN MARKETING ASSOCIATION,2012
,66,HOW TRANSFORMATIONAL LEADERSHIP WEAVES ITS INFLUENCE ON INDIVIDUAL JOB PERFORMANCE: THE ROLE OF IDENTIFICATION AND EFFICACY BELIEFS,"WALUMBWA, F. O.; AVOLIO, B. J.; ZHU, W.",Blackwell Publishing Ltd,2008
,67,The Effects of Positive Affect and Gender on the Influence Tactics - Job Performance Relationship,"Castro, S. L.; Douglas, C.; Hochwarter, W. A.; Ferris, G. R.; Frink, D. D.",BARKER COLLEGE,2003
,68,Do Staff Nurse Perceptions of Nurse Leadership Behaviors Influence Staff Nurse Job Satisfaction? The Case of a Hospital Applying for Magnet® Designation,"Bormann, Lorraine; Abrahamson, Kathleen",Lippincott Williams & Wilkins,2014
,69,Do Staff Nurse Perceptions of Nurse Leadership Behaviors Influence Staff Nurse Job Satisfaction? The Case of a Hospital Applying for Magnet&reg; Designation,"Bormann, L.; Abrahamson, K.",Lippincott Williams & Wilkins,2014
,70,"A Network of Working Relationships, Its Antecedents, and Its Influence on Individual Job Outcomes","Keup, L. C.",ASAC,1996
,71,"The relations between work centrality, psychological contracts, and job attitudes: The influence of age","Bal, P. M.; Kooij, D.",PSYCHOLOGY PRESS,2011
,72,"The occupational commitment and intention to quit of practicing and pre-service teachers: Influence of self-efficacy, job stress, and teaching context","Klassen, R. M.; Chiu, M. M.","Elsevier Science B.V., Amsterdam",2011
,73,The Study on Guanxi Structure of Colleagues in the Background of Chinese Culture and its Influence on Individual Job Performance,"Li, M.",TRANS TECH PUBLICATION LTD,2011
,74,Influence of Health on Job-Search Behavior and Re-employment: The Role of Job-Search Cognitions and Coping Resources,"Carlier, B. E.; Schuring, M.; Lenthe, F. J.; Burdorf, A.",Springer Science + Business Media,2014
,75,"Influence of personal characteristics, job-related factors and psychosocial factors on the sick building syndrome /","Skov, Peder ;Valbjørn, Ole ;Pedersen, Bo V. ;Danish Indoor Climate Study Group :",American Psychological Association,1990
,76,"Weak Ties, Information, and Influence: How Workers Find Jobs in a Local Russian Labor Market","Yakubovich, V.",AMERICAN SOCIOLOGICAL ASSOCIATION,2005
,77,Do dental esthetics have any influence on finding a job?,"Pithon, M. M.; Nascimento, C. C.; Barbosa, G. C.; Coqueiro, R. d.","Elsevier Science B.V., Amsterdam",2014
,78,"Job accessibility under the influence of information and communication technologies, in the Netherlands","Muhammad, S.; de Jong, T.; Ottens, H. F.","Elsevier Science B.V., Amsterdam.",2008
,79,"Job demands, resources, and stress among staff in after school programs: Neighborhood characteristics influence associations in the job demands-resources model","Affrunti, Nicholas W.; Mehta, Tara; Rusch, Dana; Frazier, Stacy","Elsevier Science B.V., Amsterdam.",2018
,80,Job Strain and Psychologic Distress:Influence on Sickness Absence Among Finnish Employees,"Virtanen, M.; Vahtera, J.; Pentti, J.; Honkonen, T.; Elovainio, M.; Kivim&#x00E4;ki, M.","Elsevier Science B.V., Amsterdam.",2007
,81,"Influence of Age of Job Satisfaction, Job Involvement, Organizational Commitment and Mental Health","Manikandan, K.; Jayan, C.",AGRA PSYCHOLOGICAL RESEARCH CELL,2006
,82,Job choice and the influence of prior asthma and hay fever,"Butland, B.K.; Ghosh, R.; Strachan, D.P.; Cullinan, P.; Jarvis, D.",BMJ PUBLISHING GROUP,2011
,83,"The influence of transformational leadership, job satisfaction, and organizational commitments on Organizational Citizenship Behavior (OCB) in the inspectorate general of the Ministry of Education and Culture","Nurjanah, Siti; Pebianti, Vina; Handaru, Agung Wahyu",Taylor & Francis,2020
,84,"The influence of empowerment, commitment, job satisfaction and trust on perceived managers' performance","Zeffane, Rachid; Al Zarooni, Hana Ameen Mohammed",Inderscience,2008
,85,The Jobs Act Year One: Influence on the US IPO Market,"Thomson, D.",FINANCIAL EXECUTIVES INSTITUTE,2013
,86,The Influence of Managers on Job Satisfaction in Occupational Therapy,"Moore, K.; Cruickshank, M.; Haas, M.",COT; 1999,2006
,87,"The influence of frontline manager job strain on burnout, commitment and turnover intention: A cross-sectional study","Wong, Carol A.; Spence Laschinger, Heather K.","Elsevier Science B.V., Amsterdam.",2015
,88,The influence of a real job on upper limb performance in motor skill tests: which abilities are transferred?,"Giangiardi, Vivian Farahte; Alouche, Sandra Regina; de Freitas, Sandra Maria Sbeghen Ferreira; Pires, Raquel Simoni; Padula, Rosimeire Simprini",Taylor & Francis,2018
,89,"The influence of organisational commitment, job involvement and utility perceptions on trainees' motivation to improve work through learning","von Treuer, K.; McHardy, K.; Earl, C.",Taylor & Francis,2013
,90,THE INFLUENCE OF MANAGERIAL AND JOB VARIABLES ON ORGANIZATIONAL COMMITMENT IN THE POLICE,"DICK, G. P.",Blackwell Publishing Ltd,2011
,91,"Teacher Job Satisfaction in a Reform State: The Influence of Teacher Characteristics, Job Dimensions, and Psychological States","Winter, P. A.; Brenner, D. B.; Petrosko, J. M.","TECHNOMIC PUBLISHING CO., INC.",2006
,92,"The influence of organisational commitment, job involvement and utility perceptions on trainees’ motivation to improve work through learning","von Treuer, Kathryn; McHardy, Katherine; Earl, Celisha",Taylor & Francis,2013
,93,Predicting Job Insecurity Via Moderating Influence of Individual Powerlessness,"Reisel, W. D.",PERCEPTUAL AND MOTOR SKILLS,2003
,94,The Influence of Outsourcing on Job Satisfaction and Turnover Intentions of Technical Managers,"Kennedy, J. F.; Holt, D. T.; Ward, M. A.; Rehg, M. T.",HUMAN RESOURCE PLANNING SOCIETY,2002
,95,Changes in Job Decision Latitude: The Influence of Personality and Interpersonal Satisfaction,"Fried, Y.",ACADEMIC PRESS,1999
,96,Dairy farmers' job satisfaction and the influence of automatic milking systems,"Hansen, Björn Gunnar; Stræte, Egil Petter",KONINKLIJK GENOOTSCHAP LANDBOUWWETENSCHAP,2020
,97,Understanding the influence of polychronicity on job satisfaction and turnover intention: A study of non-supervisory hotel employees,"Jang, J.; George, R. T.","Elsevier Science B.V., Amsterdam.",2012
,98,Endoscopy: a dominant influence in the gastroenterology job market,"Falkenstein, D.B.; Zimmon, D.S.; Strosberg, M.A.",unknown,1977
,99,The Landscape of Urban Influence on U.S. County Job Growth,"Partridge, M. D.; Rickman, D. S.; Ali, K.; Olfert, M. R.",Blackwell Publishing Ltd.,2007
,100,"Predicting Burnout and Job Satisfaction in Workplace Counselors: The Influence of Role Stressors, Job Challenge, and Organizational Knowledge","Kirk-Brown, A.; Wallace, D.",NATIONAL EMPLOYMENT COUNSELING ASSOC,2004
,1,Abusive leadership versus objectifying job features: Factors that influence organizational dehumanization and workers' self‐objectification,"Sainz, Mario; Baldissarri, Cristina",John Wiley & Sons Ltd,2021
,2,Nurses' perceptions of how job environment and culture influence patient handling,"Holman, G. T.; Ellison, K. J.; Maghsoodloo, S.; Thomas, R. E.",Elsevier Science B.V; Amsterdam,2010
,3,Antecedents of repatriates' job satisfaction and its influence on turnover intentions: Evidence from Spanish repatriated managers,"Eugenia Sánchez Vidal, M. c.; Valle, R. S.; Isabel Barba Aragón, M. c.","Elsevier Science B.V., Amsterdam.",2007
,4,"How Does the Person, Job or Their Interaction Influence Entrepreneurial Outcomes?","Schjoedt, L.; Balkin, D.; Baron, R.","Babson College,",2005
,5,Cosmetic facial surgery: the influence of self-esteem on job satisfaction and burnout,"Kalus, A. R.; Cregan, C.",AUSTRALIAN HUMAN RESOURCES INSTITUTE,2017
,6,Significant household factors that influence an IT employees' job effectiveness while on work from home,"Sridhar, Vivek; Bhattacharya, Sanjay",Multi-Science,2020
,7,The Laocoön and the Book of Job as Micrography: The Influence of Miniature Hebrew Illumination on the Work of William Blake,"Stein, Sarah B.",ROUTLEDGE,2013
,8,Destructive leader traits and the neutralizing influence of an “enriched�? job,"Schaubroeck, J.; Walumbwa, F. O.; Ganster, D. C.; Kepes, S.","Elsevier Science B.V., Amsterdam.",2007
,9,How human resources management best practice influence employee satisfaction and job retention in the Thai hotel industry,"Ashton, Ann Suwaree",Taylor and Francis,2018
,10,Use It and Still Lose It? The Influence of Age and Job Experience on Detection Performance in X-Ray Screening,"Schwaninger, A.; Hardmeier, D.; Riegelnig, J.; Martin, M.",Hogrefe Publishing,2010
,11,The Laocoon and the Book of Job as Micrography: The Influence of Miniature Hebrew Illumination on the Work of William Blake,"Stein, S.B.",ROUTLEDGE,2013
,12,Do core self-evaluations and coping style influence the perception of job insecurity?,"Lastad, L.; Berntson, E.; Naswall, K.; Sverke, M.",Taylor & Francis,2014
,13,Risk factors for chronic mucus hypersecretion in individuals with and without COPD: influence of smoking and job exposure on CMH,"Dijkstra, A.E.; de Jong, K.; Boezen, H.M.; Kromhout, H.; Vermeulen, R.; Groen, H.J.M.; Postma, D.S.; Vonk, J.M.",BMJ PUBLISHING GROUP,2014
,14,Dual sources of support for dual roles: how mentoring and work-family culture influence work-family conflict and job attitudes,"de Janasz, S.; Behson, S.J.; Jonsen, K.; Lankau, M.J.",Taylor & Francis,2013
,15,The impact of skill discretion and work demands on salesperson job satisfaction: the mediating influence of the burnout facets,"Matthews, Lucy M.; Rutherford, Brian N.",Taylor and Francis,2020
,16,"Trust Context: Effect on Organizational Citizenship Behavior, Supervisory Fairness, and Job Satisfaction Beyond the Influence of Leader-Member Exchange","Wech, B. A.",SAGE PERIODICALS PRESS,2002
,17,Occupational inequalities in volunteering participation: Using detailed data on jobs to explore the influence of habits and circumstances,"Lambert, Paul S.; Rutherford, Alasdair C.",John Wiley & Sons Ltd,2020
,18,A social network theory perspective on how social ties influence perceived employability and job insecurity: evidence from school teachers,"Mehreen, Aqsa; Hui, Yang; Ali, Zulqurnain",SPRINGER,2019
,19,For better or for worse? An analysis of how flexible working practices influence employees' perceptions of job quality,"Kelliher, C.; Anderson, D.",Taylor & Francis,2008
,20,Two Presidents in a 9/11 probe?; Hong Kong protest worries Beijing; Arafat still wields influence; teens and summer jobs,"Heckman, J. J.; Smith, J. A.",TIME - LIFE INTERNATIONAL,2003
,21,The Influence of Managerial Practices and Job-Related Characteristics on Employee Perceptions of Service Quality and Turnover Intention,"Martinez, J. Michael; Barnhill, Christopher; Otto, Marcella; Mosso, Allison",NIRSA FOUNDATION,2019
,22,The influence of dysfunctional cognitions on job-related experiences and behaviour - a cognitive-behavioural perspective,"Sauerland, Martin; Soyeaux, Helen M.; krajewski, Jarek",Interscience Enterprises,2015
,23,The Influence of Recruitment Websites on Job-Seeker Perceptions of Organization and Job Fit,"Eveleth, Daniel; Stone, Robert; Baker-Eveleth, Lori",IDEA GROUP PUBLISHING,2018
,24,``The Job Has Become Advocating for the Job'': Threats to Funding Dramatically Influence Program Outcomes,"McCullough,  Anna; Ranney,  Leah M.; Simons,  Daniel J.; Goldstein,  Adam O.",AMERICAN JOURNAL OF HEALTH PROMOTION,2018
,25,The Influence of Managed Care on Job-Related Attitudes of Social Workers,"Acker, G.",HAWORTH SOCIAL WORK PRACTICE PRESS,2010
,26,Offshoring and jobs: The myriad channels of influence,"Groizard, J. L.; Ranjan, P.; Rodriguez-Lopez, A.","Elsevier Science B.V., Amsterdam.",2014
,27,"Technology and the structuring of jobs: Employee satisfaction, performance, and influence",Daniel J Brass,Academic Press,1985
,28,The Right Tools for the Job: Correctness of Cone of Influence Reduction Proved Using ACL2 and HOL4,"Gordon, M. J.; Kaufmann, M.; Ray, S.",Springer Science + Business Media,2011
,29,If I can do it my wayÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â¦The influence of regulatory focus on job-related values and job attraction,"Sassenberg, K.; Scholl, A.","Elsevier Science B.V., Amsterdam.",2013
,30,Work-related health complaints in surgical residents and the influence of social support and job-related autonomy,"Boerjan, M.; Bluyssen, S. J.; Bleichrodt, R. P.; van Weel-Baumgarten, E. M.; van Goor, H.",Blackwell Publishing Ltd,2010
,31,Do CEOs Matter? APPLE'S STOCK RISES AND FALLS WITH THE FAINTEST RUMORS ABOUT STEVE JOBS'S HEALTH. BUT HOW MUCH INFLUENCE DO CEOS REALLY HAVE?,"Collingwood, H.",ATLANTIC MONTHLY GROUP,2009
,32,Influence of ethical ideology on job stress,"Shukla, A.; Srivastava, R.",Springer Science + Business media,2017
,33,Influence of working conditions on job satisfaction in anaesthetists,"Kinzl, J. F.; Knotzer, H.; Traweger, C.; Lederer, W.; Heidegger, T.; Benzer, A.",Oxford University Press,2005
,34,"Job Satisfaction among Newsworkers: The Influence of Professionalism, Perceptions of Organizational Structure, and Social Attributes","Pollard, G.",AEJMC ASSOCIATION FOR EDUCATION IN JOURNALISM,1995
,35,Influence of Differences in Their Jobs on Cardiovascular Risk Factors in Male Blue-collar Shift Workers in Their Fifties,"Inoue, M.; Morita, H.; Inagaki, J.; Harada, N.","HANLEY & BELFUS, INC.",2004
,36,Influence of leadership style on job satisfaction of NGO employee: The mediating role of psychological empowerment,"Mufti, Mishal; Xiaobao, Peng; Shah, Syed Jamal; Sarwar, Asma; Zhenqing, Yuan","John Wiley & Sons, Ltd",2020
,37,Influence of Socioeconomic Status and Job Control on Plasma Fibrinogen Responses to Acute Mental Stress,"Steptoe, A.; Kunz-Ebrecht, S.; Owen, N.; Feldman, P. J.; Rumley, A.; Lowe, G. D. O.; Marmot, M.",WILLIAMS & WILKINS,2003
,38,Influence of teacher collaboration on job satisfaction and student achievement,"Reeves, Philip M.; Pun, Wik Hung; Chung, Kyung Sun","Elsevier Science B.V., Amsterdam.",2017
,39,Influence of group resilience on job satisfaction among Korean nurses: A cross‐sectional study,"Son, Dong‐Min; Ham, Ok‐Kyung",John Wiley & Sons Ltd,2020
,40,Influence of participative decision-making on job satisfaction and organizational commitment of,"Knoop, Robert",Psychological reports,1995
,41,Influence of managerial behaviors and job autonomy on job satisfaction of industrial salespersons,"DeCarlo, Thomas E",Elsevier North-Holland,1999
,42,Job Selection Criteria and the Influence of Clinical Rotation Sites for Senior Medical Laboratory Science Students,"Stuart, J. M.; Fenn, J. P.",AMERICAN SOCIETY OF CLINICAL PATHOLOGISTS,2004
,43,How job resources and personal resources influence work engagement and burnout,"Kotze, Martina",Emerald,2018
,44,The Influence of Role Stressors and Job Characteristics on Job Performance of Industrial Salespeople: A Test of Nonlinear Hypotheses,"Van Droogenbroeck, S.;Singh, J.",Ecole Superieure des Sciences Economiques et Commerciales,1995
,45,The influence of transformational leadership on job satisfaction: The balanced scorecard perspective,"Yang, Y.-F.; Islam, M.",Emerald Group Publishing Ltd,2012
,46,The influence of political climate on job pursuit intentions and the moderating effect of Machiavellianism,"Djurdjevic, Emilija; Rosen, Christopher C.; Conroy, Samantha A.; Rawski, Shannon L.; Sosna, Katherine U",Wiley-Blackwell,2019
,47,The Influence of Career Stage on Job Attitudes: Toward a Contingency Perspective,"Flaherty, K. E.; Pappas, J. M.",JOURNAL OF PERSONAL SELLING SALES MANAGEMENT,2002
,48,The Influence of Compassion Fatigue on Job Performance and Organizational Citizenship Behaviors: The Moderating Effect of Person–Job Fit,"Chu, Li‐Chuan",Wiley-Blackwell,2021
,49,The influence of cross-cultural differences on job interview selection decisions,"Manroop, L.; Boekhorst, J.A.; Harrison, J.A.",Taylor & Francis,2013
,50,The Influence of Transformational Leadership and Job Burnout on Child Protective Services Case Managers' Commitment and Intent to Quit,"Rittschof, Kerri R.; Fortunato, Vincent J.",Taylor & Francis,2016
,51,The Influence of Social-Psychological Traits and Job Search Patterns on the Earnings of Workers Affected by a Plant Closure,"Stern, James L.",Cornell University,1974
,52,The Influence of Minority Status on Job Stability After Traumatic Brain Injury,"Arango-Lasprilla, J. C.; Ketchum, J. M.; Gary, K. W.; Kreutzer, J. S.; O'Neil-Pirozzi, T. M.; Wehman, P.; Marquez de la Plata, C.; Jha, A.","Elsevier Science B.V., Amsterdam",2009
,53,The influence of benefit on the job finding process,"Bieszk-Stolorz, B.; Markowicz, I.",Wydawn Uniwersytetu Ekonomicznego we Wroclawiu,2014
,54,The influence of work–family conflict on job stress among two groups of community corrections staff,"Mack, Kristin Y.; Rhineberger-Dunn, Gayle",Taylor & Francis,2019
,55,The influence of temperament on long-term job strain and its components: The cardiovascular risk in Young Finns Study,"Hintsa, T.; Hintsanen, M.; Jokela, M.; Elovainio, M.; Raitakari, O.; Keltikangas-Jarvinen, L.",Elsevier Science B. V. Amsterdam,2010
,56,The Influence of Work Personality on Job Satisfaction: Incremental Validity and Mediation Effects,"Heller, D.; Ferris, D. L.; Brown, D.; Watson, D.",Blackwell Publishing Ltd,2009
